trt,time,conc
R,0,0
R,0.25,191.75
R,0.5,335.47
R,0.75,414.53
R,1,481.18
R,1.5,531.02
R,1.75,557.02
R,2,555.47
R,2.25,574.87
R,2.5,565.03
R,2.75,527.63
R,3,494.23
R,3.25,503.73
R,3.5,496.94
R,3.75,469.1
R,4,445.34
R,6,345.53
R,8,269.26
R,12,140.03
R,24,23.08
T,0,0
T,0.25,68.87
T,0.5,126.96
T,0.75,177.79
T,1,216.37
T,1.5,286.97
T,1.75,318.61
T,2,332.06
T,2.25,373.68
T,2.5,387.45
T,2.75,388.55
T,3,368.73
T,3.25,396.64
T,3.5,406.45
T,3.75,399.83
T,4,424.02
T,6,383.47
T,8,331.64
T,12,197.54
T,24,34.84
